id,identifier,name
1,bulbasaur,Bulbasaur
2,ivysaur,Ivysaur
3,venusaur,Venusaur
4,charmander,Charmander
5,charmeleon,Charmeleon
6,charizard,Charizard
7,squirtle,Squirtle
8,wartortle,Wartortle
9,blastoise,Blastoise
10,caterpie,Caterpie
11,metapod,Metapod
12,butterfree,Butterfree
13,weedle,Weedle
14,kakuna,Kakuna
15,beedrill,Beedrill
16,pidgey,Pidgey
17,pidgeotto,Pidgeotto
18,pidgeot,Pidgeot
19,rattata,Rattata
20,raticate,Raticate
21,spearow,Spearow
22,fearow,Fearow
23,ekans,Ekans
24,arbok,Arbok
25,pikachu,Pikachu
26,raichu,Raichu
27,sandshrew,Sandshrew
28,sandslash,Sandslash
29,nidoran-f,Nidoran♀
30,nidorina,Nidorina
31,nidoqueen,Nidoqueen
32,nidoran-m,Nidoran♂
33,nidorino,Nidorino
34,nidoking,Nidoking
35,clefairy,Clefairy
36,clefable,Clefable
37,vulpix,Vulpix
38,ninetales,Ninetales
39,jigglypuff,Jigglypuff
40,wigglytuff,Wigglytuff
41,zubat,Zubat
42,golbat,Golbat
43,oddish,Oddish
44,gloom,Gloom
45,vileplume,Vileplume
46,paras,Paras
47,parasect,Parasect
48,venonat,Venonat
49,venomoth,Venomoth
50,diglett,Diglett
51,dugtrio,Dugtrio
52,meowth,Meowth
53,persian,Persian
54,psyduck,Psyduck
55,golduck,Golduck
56,mankey,Mankey
57,primeape,Primeape
58,growlithe,Growlithe
59,arcanine,Arcanine
60,poliwag,Poliwag
61,poliwhirl,Poliwhirl
62,poliwrath,Poliwrath
63,abra,Abra
64,kadabra,Kadabra
65,alakazam,Alakazam
66,machop,Machop
67,machoke,Machoke
68,machamp,Machamp
69,bellsprout,Bellsprout
70,weepinbell,Weepinbell
71,victreebel,Victreebel
72,tentacool,Tentacool
73,tentacruel,Tentacruel
74,geodude,Geodude
75,graveler,Graveler
76,golem,Golem
77,ponyta,Ponyta
78,rapidash,Rapidash
79,slowpoke,Slowpoke
80,slowbro,Slowbro
81,magnemite,Magnemite
82,magneton,Magneton
83,farfetchd,Farfetch’d
84,doduo,Doduo
85,dodrio,Dodrio
86,seel,Seel
87,dewgong,Dewgong
88,grimer,Grimer
89,muk,Muk
90,shellder,Shellder
91,cloyster,Cloyster
92,gastly,Gastly
93,haunter,Haunter
94,gengar,Gengar
95,onix,Onix
96,drowzee,Drowzee
97,hypno,Hypno
98,krabby,Krabby
99,kingler,Kingler
100,voltorb,Voltorb
101,electrode,Electrode
102,exeggcute,Exeggcute
103,exeggutor,Exeggutor
104,cubone,Cubone
105,marowak,Marowak
106,hitmonlee,Hitmonlee
107,hitmonchan,Hitmonchan
108,lickitung,Lickitung
109,koffing,Koffing
110,weezing,Weezing
111,rhyhorn,Rhyhorn
112,rhydon,Rhydon
113,chansey,Chansey
114,tangela,Tangela
115,kangaskhan,Kangaskhan
116,horsea,Horsea
117,seadra,Seadra
118,goldeen,Goldeen
119,seaking,Seaking
120,staryu,Staryu
121,starmie,Starmie
122,mrmime,Mr. Mime
123,scyther,Scyther
124,jynx,Jynx
125,electabuzz,Electabuzz
126,magmar,Magmar
127,pinsir,Pinsir
128,tauros,Tauros
129,magikarp,Magikarp
130,gyarados,Gyarados
131,lapras,Lapras
132,ditto,Ditto
133,eevee,Eevee
134,vaporeon,Vaporeon
135,jolteon,Jolteon
136,flareon,Flareon
137,porygon,Porygon
138,omanyte,Omanyte
139,omastar,Omastar
140,kabuto,Kabuto
141,kabutops,Kabutops
142,aerodactyl,Aerodactyl
143,snorlax,Snorlax
144,articuno,Articuno
145,zapdos,Zapdos
146,moltres,Moltres
147,dratini,Dratini
148,dragonair,Dragonair
149,dragonite,Dragonite
150,mewtwo,Mewtwo
151,mew,Mew